epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,599.262,1.257,1.74672,1.46775,0.48782,0.47596,0.42214,0.19867,1.99107,2.16099,2.03839,0.000236549,0.000236549,0.000236549
2,737.929,1.2637,1.52973,1.46089,0.48913,0.47745,0.45861,0.20641,2.07808,2.15765,2.09931,0.000465153,0.000465153,0.000465153
3,874.571,1.27651,1.52118,1.47009,0.5682,0.42089,0.42016,0.18104,2.06772,2.44296,2.09121,0.000684332,0.000684332,0.000684332
4,1009.07,1.22912,1.45386,1.43521,0.61337,0.47041,0.51509,0.22609,1.95178,1.9071,1.97686,0.000671588,0.000671588,0.000671588
5,1145.12,1.19343,1.35832,1.40867,0.68756,0.54288,0.57295,0.25315,2.026,1.64202,2.03486,0.000657451,0.000657451,0.000657451
6,1282.44,1.15207,1.27085,1.3759,0.72106,0.50618,0.56359,0.25841,1.99463,1.55267,1.98379,0.000643314,0.000643314,0.000643314
7,1419.65,1.11446,1.17963,1.34789,0.74349,0.56599,0.6231,0.30212,1.83571,1.41783,1.89679,0.000629177,0.000629177,0.000629177
8,1556.24,1.09073,1.14568,1.33599,0.72782,0.60313,0.65656,0.32786,1.76547,1.29648,1.77456,0.00061504,0.00061504,0.00061504
9,1691.86,1.07532,1.11629,1.32032,0.79944,0.59841,0.65912,0.33584,1.70632,1.22179,1.76398,0.000600902,0.000600902,0.000600902
10,1829.18,1.05451,1.04513,1.29857,0.8073,0.59184,0.66588,0.3401,1.71311,1.1878,1.81245,0.000586765,0.000586765,0.000586765
11,1966.59,1.02958,1.00568,1.2832,0.82231,0.63742,0.71118,0.36231,1.82788,1.08779,1.86368,0.000572628,0.000572628,0.000572628
12,2109.19,1.01143,0.96935,1.26827,0.81346,0.65705,0.71711,0.38117,1.62865,1.04205,1.71295,0.000558491,0.000558491,0.000558491
13,2245.36,0.98606,0.93379,1.26097,0.80887,0.65113,0.72692,0.38004,1.68929,1.0255,1.76881,0.000544354,0.000544354,0.000544354
14,2380.91,0.96824,0.89321,1.24167,0.8338,0.68487,0.74579,0.3904,1.65926,0.93448,1.73404,0.000530216,0.000530216,0.000530216
15,2518.36,0.95631,0.87066,1.23296,0.83304,0.67247,0.74399,0.42297,1.52257,0.94112,1.63825,0.000516079,0.000516079,0.000516079
16,2658.1,0.93488,0.83064,1.2163,0.84859,0.6691,0.73797,0.41432,1.52512,0.93245,1.60473,0.000501942,0.000501942,0.000501942
17,2795.13,0.9242,0.81905,1.20746,0.8864,0.69648,0.76501,0.41529,1.62796,0.90055,1.73768,0.000487805,0.000487805,0.000487805
18,2930.23,0.89431,0.78531,1.20178,0.8899,0.68918,0.76904,0.45257,1.41704,0.87846,1.52466,0.000473668,0.000473668,0.000473668
19,3067.02,0.89567,0.77415,1.19644,0.9005,0.67926,0.77282,0.46837,1.39594,0.84037,1.51366,0.00045953,0.00045953,0.00045953
20,3204.02,0.87076,0.74536,1.17369,0.86903,0.70889,0.78603,0.47375,1.38041,0.8489,1.5307,0.000445393,0.000445393,0.000445393
21,3339.94,0.8693,0.73892,1.17204,0.84358,0.72154,0.78881,0.46938,1.38423,0.82615,1.5376,0.000431256,0.000431256,0.000431256
22,3479.16,0.85086,0.71081,1.16184,0.83379,0.71475,0.7781,0.48287,1.3622,0.80286,1.49053,0.000417119,0.000417119,0.000417119
23,3620.36,0.8346,0.69578,1.15607,0.91745,0.71854,0.79521,0.47956,1.38947,0.80181,1.50945,0.000402982,0.000402982,0.000402982
24,3755.36,0.82017,0.6764,1.14234,0.89363,0.72289,0.79791,0.47399,1.3834,0.79826,1.52978,0.000388844,0.000388844,0.000388844
25,3890.41,0.81543,0.66982,1.14291,0.85024,0.7338,0.78865,0.46316,1.41371,0.79008,1.56937,0.000374707,0.000374707,0.000374707
26,4025.89,0.80528,0.65554,1.13578,0.92,0.73744,0.81699,0.50356,1.3334,0.70865,1.48766,0.00036057,0.00036057,0.00036057
27,4164.16,0.78859,0.62636,1.12031,0.90546,0.75724,0.8095,0.50229,1.31942,0.72369,1.4596,0.000346433,0.000346433,0.000346433
28,4299.02,0.78048,0.62166,1.10951,0.88811,0.72982,0.79875,0.51581,1.22312,0.72864,1.38187,0.000332296,0.000332296,0.000332296
29,4434.97,0.75211,0.60432,1.10039,0.94269,0.72584,0.81435,0.50832,1.33271,0.72926,1.48051,0.000318158,0.000318158,0.000318158
30,4570.62,0.75843,0.59879,1.09915,0.92501,0.73901,0.81432,0.53538,1.20953,0.68016,1.3824,0.000304021,0.000304021,0.000304021
31,4706.99,0.74919,0.5874,1.10136,0.92339,0.74166,0.81785,0.51831,1.2569,0.70119,1.43272,0.000289884,0.000289884,0.000289884
32,4843.53,0.7288,0.57012,1.0846,0.92871,0.74696,0.82115,0.54371,1.14869,0.65158,1.33365,0.000275747,0.000275747,0.000275747
